game_id,total,winner
2023_15_DEN_DET,59,Detroit Lions
2023_15_HOU_TEN,35,Houston Texans
2023_15_KC_NE,44,Kansas City Chiefs
2023_15_LAC_LV,84,Las Vegas Raiders
2023_15_MIN_CIN,51,Cincinnati Bengals
2023_15_NYG_NO,30,New Orleans Saints
2023_15_NYJ_MIA,30,Miami Dolphins
2023_15_PHI_SEA,37,Seattle Seahawks
2023_15_PIT_IND,43,Indianapolis Colts
2023_15_SF_ARI,74,San Francisco 49ers
2023_15_TB_GB,54,Tampa Bay Buccaneers
2023_15_WAS_LA,48,Los Angeles Rams
2023_16_ARI_CHI,43,Chicago Bears
2023_16_BAL_SF,52,Baltimore Ravens
2023_16_BUF_LAC,46,Buffalo Bills
2023_16_CIN_PIT,45,Pittsburgh Steelers
2023_16_CLE_HOU,58,Cleveland Browns
2023_16_DAL_MIA,42,Miami Dolphins
2023_16_DET_MIN,54,Detroit Lions
2023_16_GB_CAR,63,Green Bay Packers
2023_16_IND_ATL,39,Atlanta Falcons
2023_16_JAX_TB,42,Tampa Bay Buccaneers
2023_16_LV_KC,34,Las Vegas Raiders
2023_16_NE_DEN,49,New England Patriots
2023_16_NO_LA,52,Los Angeles Rams
2023_16_NYG_PHI,58,Philadelphia Eagles
2023_16_SEA_TEN,37,Seattle Seahawks
2023_16_WAS_NYJ,58,New York Jets
2023_17_ARI_PHI,66,Arizona Cardinals
2023_17_ATL_CHI,54,Chicago Bears
2023_17_CAR_JAX,26,Jacksonville Jaguars
2023_17_CIN_KC,42,Kansas City Chiefs
2023_17_DET_DAL,39,Dallas Cowboys
2023_17_GB_MIN,43,Green Bay Packers
2023_17_LAC_DEN,25,Denver Broncos
2023_17_LA_NYG,51,Los Angeles Rams
2023_17_LV_IND,43,Indianapolis Colts
2023_17_MIA_BAL,75,Baltimore Ravens
2023_17_NE_BUF,48,Buffalo Bills
2023_17_NO_TB,36,New Orleans Saints
2023_17_NYJ_CLE,57,Cleveland Browns
2023_17_PIT_SEA,53,Pittsburgh Steelers
2023_17_SF_WAS,37,San Francisco 49ers
2023_17_TEN_HOU,29,Houston Texans
2023_18_ATL_NO,65,New Orleans Saints
2023_18_BUF_MIA,35,Buffalo Bills
2023_18_CHI_GB,26,Green Bay Packers
2023_18_CLE_CIN,45,Cincinnati Bengals
2023_18_DAL_WAS,48,Dallas Cowboys
2023_18_DEN_LV,41,Las Vegas Raiders
2023_18_HOU_IND,42,Houston Texans
2023_18_JAX_TEN,48,Tennessee Titans
2023_18_KC_LAC,25,Kansas City Chiefs
2023_18_LA_SF,41,Los Angeles Rams
2023_18_MIN_DET,50,Detroit Lions
2023_18_NYJ_NE,20,New York Jets
2023_18_PHI_NYG,37,New York Giants
2023_18_PIT_BAL,27,Pittsburgh Steelers
2023_18_SEA_ARI,41,Seattle Seahawks
2023_18_TB_CAR,9,Tampa Bay Buccaneers
